repo	stars	lang	fork	archived	readme	license	gitignore	ci	tests	lintcfg	lockfile	manifest	contributing	security	coc	issue_tmpl	pr_tmpl	dependabot	docs_dir	changelog	editorconfig	codeowners	precommit	skills	agent_md	plugins	templates	examples	prompts	schema	mcp	marketplace	hooks	commands
UfoMiao/zcf	6048	TypeScript	false	false	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1
ChrisWiles/claude-code-showcase	5975	JavaScript	false	false	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1
slopus/happy	22183	TypeScript	false	false	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1
Donchitos/Claude-Code-Game-Studios	22181	Shell	false	false	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0
aiwaves-cn/agents	5933	Python	false	false	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
winfunc/opcode	22104	TypeScript	false	false	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
jnMetaCode/superpowers-zh	5902	JavaScript	false	false	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0
EveryInc/compound-engineering-plugin	22002	TypeScript	false	false	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1
ghuntley/how-to-build-a-coding-agent	5689	Go	false	false	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
czlonkowski/n8n-mcp	21954	TypeScript	false	false	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0
21st-dev/1code	5607	TypeScript	false	false	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1
openai/codex-plugin-cc	21604	JavaScript	false	false	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1
coze-dev/coze-loop	5552	Go	false	false	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0
tw93/Kaku	5466	Rust	false	false	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0
SWE-agent/mini-swe-agent	5410	Python	false	false	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
kodu-ai/claude-coder	5254	TypeScript	false	false	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
FlorianBruniaux/claude-code-ultimate-guide	5200	Python	false	false	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1
hey-api/hey-api	5008	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0
generalaction/emdash	4974	TypeScript	false	false	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1
KimYx0207/AI-Coding-Guide-Zh	4927	?	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
omnigent-ai/omnigent	4781	Python	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
rullerzhou-afk/clawd-on-desk	4758	JavaScript	false	false	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0
formkit/formkit	4733	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0
tech-leads-club/agent-skills	4714	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	0
microsoft/agent-governance-toolkit	4509	Python	false	false	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1
darrenhinde/OpenAgentsControl	4428	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1
gptme/gptme	4340	Python	false	false	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1
zebbern/claude-code-guide	4333	Python	false	false	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
langroid/langroid	4045	Python	false	false	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0
op7418/guizang-social-card-skill	4020	HTML	false	false	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
sourcegraph/cody-public-snapshot	3801	TypeScript	false	true	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1
twinnydotdev/twinny	3629	TypeScript	false	true	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
chaitin/MonkeyCode	3457	TypeScript	false	false	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0
entropy-research/Devon	3448	Python	false	false	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
CommandCodeAI/command-code	3421	?	false	false	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Josh-XT/AGiXT	3199	Python	false	false	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
superagent-ai/grok-cli	3170	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0
google/agents-cli	3104	Python	false	false	1	1	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1
SeemSeam/claude_codex_bridge	3092	Python	false	false	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0
AutoCodeRoverSG/auto-code-rover	3090	Python	false	false	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
stravu/crystal	3090	TypeScript	false	false	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0
apollographql/apollo-tooling	3043	TypeScript	false	false	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Windy3f3f3f3f/how-claude-code-works	2719	?	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agent-of-empires/agent-of-empires	2648	Rust	false	false	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0
vercel-labs/opensrc	2626	Rust	false	false	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1
moazbuilds/CodeMachine-CLI	2498	TypeScript	false	false	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1
Leonxlnx/agentic-ai-prompt-research	2463	?	false	false	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
