repo	n_paths	truncated	adr	specs_dir	prd	requirements_md	roadmap	rfc	changelog	speckit	kiro	openspec	agents_md	claude_md	docs_dir	is_software
kubernetes/kubernetes	36519	false	false	true	false	false	false	false	true	false	false	false	true	true	true	true
electron/electron	3442	false	false	true	false	false	false	false	false	false	false	false	false	true	true	true
Comfy-Org/ComfyUI	1132	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
ggml-org/llama.cpp	3352	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
nodejs/node	53817	false	false	false	false	false	true	true	true	false	false	false	false	false	true	true
shadcn-ui/ui	10382	false	false	false	false	false	false	false	true	false	false	false	true	false	true	true
rustdesk/rustdesk	1113	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
garrytan/gstack	1325	false	false	true	false	false	false	false	true	false	false	false	true	true	true	true
Shubhamsaboo/awesome-llm-apps	2278	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
github/spec-kit	580	false	false	false	false	false	false	false	true	true	false	false	true	false	true	true
Hack-with-Github/Awesome-Hacking	7	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
rust-lang/rust	64907	true	false	true	false	false	false	true	true	false	false	false	true	true	true	true
mrdoob/three.js	6366	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
godotengine/godot	15247	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
d3/d3	200	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
microsoft/generative-ai-for-beginners	14340	false	false	false	false	false	false	false	false	false	false	false	true	false	true	true
2dust/v2rayN	469	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
microsoft/TypeScript	55311	true	false	false	false	false	false	false	false	false	false	false	true	true	false	true
farion1231/cc-switch	1153	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
axios/axios	538	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
GrowingGit/GitHub-Chinese-Top-Charts	204	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
tauri-apps/tauri	1446	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
fatedier/frp	633	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
papers-we-love/papers-we-love	391	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
denoland/deno	18427	false	false	true	false	false	false	false	false	false	false	false	false	true	true	true
google-gemini/gemini-cli	3144	false	false	false	false	false	true	false	false	false	false	false	false	false	true	true
supabase/supabase	19119	false	false	true	false	false	false	false	true	false	false	false	true	true	true	true
immich-app/immich	4433	false	false	true	false	true	false	false	false	false	false	false	false	false	true	true
angular/angular	13037	false	false	false	false	false	true	false	true	false	false	false	true	false	true	true
ant-design/ant-design	5530	false	false	true	false	false	false	false	false	false	false	false	true	true	true	true
tailwindlabs/tailwindcss	652	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
puppeteer/puppeteer	2336	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
microsoft/playwright	3591	false	false	true	false	false	false	false	false	false	false	false	false	true	true	true
storybookjs/storybook	7455	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
mermaid-js/mermaid	2005	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
ChatGPTNextWeb/NextChat	438	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
modelcontextprotocol/servers	173	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
realworld-apps/realworld	385	false	false	true	false	false	false	false	false	false	false	false	false	true	true	true
vitejs/vite	3549	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
deepseek-ai/DeepSeek-V3	26	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
openai/whisper	53	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
pytorch/pytorch	22755	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
browser-use/browser-use	602	false	false	false	false	false	false	false	false	false	false	false	true	true	false	true
fastapi/fastapi	3416	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
nvbn/thefuck	454	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
nextlevelbuilder/ui-ux-pro-max-skill	571	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true
hacksider/Deep-Live-Cam	78	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
harry0703/MoneyPrinterTurbo	173	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
gin-gonic/gin	147	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
gohugoio/hugo	2959	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
syncthing/syncthing	1140	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
infiniflow/ragflow	4824	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
junegunn/fzf	168	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
jesseduffield/lazygit	2473	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
netdata/netdata	7602	false	false	false	false	false	false	true	true	false	false	false	true	true	true	true
caddyserver/caddy	691	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true
moby/moby	15353	false	false	true	false	false	true	true	true	false	false	false	true	true	true	true
nektos/act	3047	false	false	false	false	false	false	false	true	false	false	false	false	true	true	true
prometheus/prometheus	1900	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
traefik/traefik	2568	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
minio/minio	1566	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
usememos/memos	1242	false	false	true	false	false	false	false	true	false	false	false	true	false	true	true
pocketbase/pocketbase	1093	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
FiloSottile/mkcert	19	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
rclone/rclone	3098	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
go-gitea/gitea	7594	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
wagoodman/dive	230	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
etcd-io/etcd	1761	false	false	false	false	false	true	false	true	false	false	false	false	false	true	true
jesseduffield/lazydocker	1834	false	false	false	false	false	false	false	true	false	false	false	false	true	true	true
ethereum/go-ethereum	2695	false	false	false	false	false	false	false	true	false	false	false	true	false	true	true
AlistGo/alist	975	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
hashicorp/terraform	7976	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
gogs/gogs	3093	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
openai/codex	6077	false	false	false	false	false	false	false	true	false	false	false	true	false	true	true
oven-sh/bun	19563	false	false	false	false	false	false	true	false	false	false	false	true	true	true	true
astral-sh/uv	1868	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
zed-industries/zed	4983	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
ruvnet/RuView	3176	false	true	false	false	false	false	false	true	false	false	false	true	true	true	true
unionlabs/union	5221	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
rtk-ai/rtk	482	false	false	false	false	false	false	false	true	false	false	false	false	true	true	true
BurntSushi/ripgrep	280	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
alacritty/alacritty	429	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
openinterpreter/openinterpreter	6022	false	false	false	false	false	false	false	true	false	false	false	true	false	true	true
rust-lang/rustlings	362	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
dani-garcia/vaultwarden	742	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
warpdotdev/warp	6995	false	false	true	false	false	false	false	false	false	false	false	true	false	false	true
FuelLabs/sway	11428	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
sharkdp/bat	1380	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
starship/starship	1014	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
meilisearch/meilisearch	2128	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true
tw93/Pake	250	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
FuelLabs/fuel-core	1269	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
typst/typst	2946	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
lencx/ChatGPT	89	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
aaif-goose/goose	2951	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
astral-sh/ruff	11682	false	false	false	false	false	false	false	true	false	false	false	true	true	true	true
react/create-react-app	624	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
mui/material-ui	42568	false	false	false	false	false	true	false	true	false	false	false	true	true	true	true
ryanmcdermott/clean-code-javascript	3	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
louislam/uptime-kuma	819	false	false	true	false	false	false	false	false	false	false	false	true	true	false	true
sveltejs/svelte	12665	false	false	false	false	false	false	false	true	false	false	false	true	false	true	true
thedotmack/claude-mem	1084	false	false	false	false	false	false	false	true	false	false	false	false	true	true	true
anuraghazra/github-readme-stats	150	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
JuliusBrussee/caveman	199	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
typicode/json-server	41	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
hakimel/reveal.js	272	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true
juliangarnier/anime	647	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
expressjs/express	281	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
chartjs/Chart.js	1945	false	false	true	false	false	false	false	false	false	false	false	false	false	true	true
webpack/webpack	16662	false	false	false	false	false	false	false	true	false	false	false	true	true	false	true
gorhill/uBlock	1272	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
gsd-build/get-shit-done	1941	false	true	true	false	true	true	false	true	false	false	false	true	false	true	true
iluwatar/java-design-patterns	7020	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true
Stirling-Tools/Stirling-PDF	6359	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
macrozheng/mall	865	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
spring-projects/spring-boot	20843	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
doocs/advanced-java	315	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
elastic/elasticsearch	47547	true	false	true	false	false	false	false	true	false	false	false	true	true	true	true
NationalSecurityAgency/ghidra	24847	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
TheAlgorithms/Java	1734	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
spring-projects/spring-framework	14177	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
termux/termux-app	503	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
google/guava	3647	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
dbeaver/dbeaver	12328	false	false	false	false	false	false	false	false	false	false	false	true	false	true	true
skylot/jadx	3099	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
ReactiveX/RxJava	2145	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
jeecgboot/JeecgBoot	5320	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true
apache/dubbo	7459	false	false	false	false	false	false	false	false	false	false	false	true	false	true	true
halo-dev/halo	3630	false	false	true	false	false	false	false	false	false	false	true	true	true	true	true
TeamNewPipe/NewPipe	5021	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
alibaba/arthas	2387	false	false	true	false	false	false	false	false	false	false	false	true	false	true	true
microsoft/terminal	4275	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false
bitcoin/bitcoin	3184	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
opencv/opencv	9429	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
nomic-ai/gpt4all	492	false	false	true	false	false	true	false	true	false	false	false	false	false	true	true
tesseract-ocr/tesseract	770	false	false	false	false	false	false	false	true	false	false	false	false	false	true	false
ocornut/imgui	332	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
protocolbuffers/protobuf	3982	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
LadybirdBrowser/ladybird	26347	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
WerWolv/ImHex	1479	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
ggml-org/whisper.cpp	2158	false	false	false	false	false	false	false	true	false	false	false	true	false	false	true
nlohmann/json	1316	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
ClickHouse/ClickHouse	45354	false	false	true	false	false	false	false	true	false	false	false	true	true	true	true
grpc/grpc	13184	false	false	true	false	false	false	false	false	false	false	false	true	false	true	true
